ablation,period,trades,payoff,delta_payoff_vs_selected,mean_trade_pct,delta_mean_trade_pct,avg_win_pct,avg_loss_pct,mtm_mdd_pct
ablation_no_trailing,all83,254,14.512756946295683,-1.0081674513328256,0.0819942910301769,0.005996406037485899,1.6758447473480311,-0.1154739070976988,-6.097536534613601
ablation_no_expanded_trail,fit28,62,43.22328729639041,0.0,0.1760845940186894,0.0,4.107113549247732,-0.0950208511695203,-2.848956065348596
ablation_no_expanded_trail,validation28,103,10.23190934902146,0.0,0.0587265546030224,0.0,1.4388327196346893,-0.1406221136793294,-4.362202934224435
ablation_no_expanded_trail,development56,165,16.836177573131426,0.0,0.1028247269895155,0.0,2.066663503073052,-0.1227513486417015,-4.362202934224446
ablation_no_expanded_trail,stress27,89,11.898042085878904,0.0,0.0262627284817243,0.0,1.0268772759338798,-0.086306408106643,-1.6810581932710569
ablation_no_expanded_trail,all83,254,15.520924397628509,0.0,0.075997884992691,0.0,1.706737501371031,-0.1099636502083477,-4.759882182360764
ablation_no_stall,fit28,62,43.22328729639041,0.0,0.1760845940186894,0.0,4.107113549247732,-0.0950208511695203,-2.848956065348596
ablation_no_stall,validation28,103,10.23190934902146,0.0,0.0587265546030224,0.0,1.4388327196346893,-0.1406221136793294,-4.362202934224435
ablation_no_stall,development56,165,16.836177573131426,0.0,0.1028247269895155,0.0,2.066663503073052,-0.1227513486417015,-4.362202934224446
ablation_no_stall,stress27,89,11.898042085878904,0.0,0.0262627284817243,0.0,1.0268772759338798,-0.086306408106643,-1.6810581932710569
ablation_no_stall,all83,254,15.520924397628509,0.0,0.075997884992691,0.0,1.706737501371031,-0.1099636502083477,-4.759882182360764
ablation_no_late_tightening,fit28,62,43.22328729639041,0.0,0.1760845940186894,0.0,4.107113549247732,-0.0950208511695203,-2.848956065348596
ablation_no_late_tightening,validation28,103,10.23190934902146,0.0,0.0587265546030224,0.0,1.4388327196346893,-0.1406221136793294,-4.362202934224435
ablation_no_late_tightening,development56,165,16.836177573131426,0.0,0.1028247269895155,0.0,2.066663503073052,-0.1227513486417015,-4.362202934224446
ablation_no_late_tightening,stress27,89,11.898042085878904,0.0,0.0262627284817243,0.0,1.0268772759338798,-0.086306408106643,-1.6810581932710569
ablation_no_late_tightening,all83,254,15.520924397628509,0.0,0.075997884992691,0.0,1.706737501371031,-0.1099636502083477,-4.759882182360764
ablation_flatten1545,fit28,62,43.22328729639041,0.0,0.1760845940186894,0.0,4.107113549247732,-0.0950208511695203,-2.848956065348596
ablation_flatten1545,validation28,103,10.23190934902146,0.0,0.0587265546030224,0.0,1.4388327196346893,-0.1406221136793294,-4.362202934224435
ablation_flatten1545,development56,165,16.836177573131426,0.0,0.1028247269895155,0.0,2.066663503073052,-0.1227513486417015,-4.362202934224446
ablation_flatten1545,stress27,89,11.898042085878904,0.0,0.0262627284817243,0.0,1.0268772759338798,-0.086306408106643,-1.6810581932710569
ablation_flatten1545,all83,254,15.520924397628509,0.0,0.075997884992691,0.0,1.706737501371031,-0.1099636502083477,-4.759882182360764
ablation_safety_08,fit28,62,43.22328729639041,0.0,0.1760845940186894,0.0,4.107113549247732,-0.0950208511695203,-2.848956065348596
ablation_safety_08,validation28,103,10.23190934902146,0.0,0.0587265546030224,0.0,1.4388327196346893,-0.1406221136793294,-4.362202934224435
ablation_safety_08,development56,165,16.836177573131426,0.0,0.1028247269895155,0.0,2.066663503073052,-0.1227513486417015,-4.362202934224446
ablation_safety_08,stress27,89,11.898042085878904,0.0,0.0262627284817243,0.0,1.0268772759338798,-0.086306408106643,-1.6810581932710569
ablation_safety_08,all83,254,15.520924397628509,0.0,0.075997884992691,0.0,1.706737501371031,-0.1099636502083477,-4.759882182360764
ablation_soft_loss_always_active,fit28,62,35.4405381762034,-7.782749120187013,0.0170477216792292,-0.1590368723394602,3.4425993815487903,-0.0971373336497561,-2.848956065348596
ablation_soft_loss_always_active,validation28,103,12.601588671219394,2.3696793221979338,0.0245408787061952,-0.0341856758968272,1.6407066595251585,-0.1301983981807267,-3.892129972838188
ablation_soft_loss_always_active,development56,165,16.777753727691795,-0.05842384543963064,0.0217252681869716,-0.0810994588025439,1.9683235180749097,-0.117317463947881,-3.8921299728382097
ablation_soft_loss_always_active,stress27,89,16.645356447417477,4.747314361538573,0.0159124918445604,-0.010350236637163897,1.3971761509801977,-0.0839378931531964,-1.6810581932710569
ablation_soft_loss_always_active,all83,254,16.726145075901027,1.2052206782725179,0.0196885079725047,-0.056309377020186305,1.7667420943944232,-0.1056275720661982,-4.276013110370314
ablation_entry_after1045,fit28,36,59.82915222758441,16.605864931194,0.3515425978527731,0.1754580038340837,5.168837378962097,-0.0863932913389835,-2.390975813196694
ablation_entry_after1045,validation28,66,8.559581499484846,-1.6723278495366145,0.0304344200017894,-0.028292134601233004,0.8581148396997812,-0.1002519620557881,-1.8674717386763628
ablation_entry_after1045,development56,102,20.340299804264024,3.504122231132598,0.1437667180668425,0.04094199107732699,1.93579547451536,-0.0951704494596264,-2.81979923464154
ablation_entry_after1045,stress27,59,15.22094710824536,3.322905022366456,-0.0167975726358365,-0.043060301117560804,1.459281354525262,-0.0958732294480382,-1.4268301075000769
ablation_entry_after1045,all83,161,19.284288335578623,3.763363937950114,0.0849263879335626,0.008928502940871594,1.84049265051734,-0.0954400089072364,-2.81979923464154
