period,additional_latency_minutes,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct,trading_dates,symbols_traded,max_win_pct,p90_win_pct,top1_winners_share_pct,top5_winners_share_pct,mean_without_best3_pct,mean_hold_minutes,mtm_mdd_pct_at2bps
all83,0,1660,75,4.518072289156627,0,8.0,2.5275604037190034,-0.11592842928803893,21.80276588962452,1.8958926860543062,0.09555067735252444,0.4317048675565864,0.9934195394399975,-0.909761758176153,-0.3688431795348142,-0.5523774350004914,-0.6751418516124413,-0.008027963106293532,10.666666666666668,0.0,42.0,10.0,7.740370071305053,6.052172559197788,51.446883458421624,99.6297749769601,-0.11282590673373598,36.666666666666664,-2.2903341794963783
all83,0,1660,75,4.518072289156627,2,8.0,2.507560403719003,-0.13592842928803894,18.447652318598934,1.6041436798781683,0.07555067735252441,0.34134342177345367,0.9934195394399975,-0.9495754834109027,-0.38884317953481423,-0.5723774350004913,-0.6951418516124414,-0.028027963106293532,10.666666666666668,0.0,42.0,10.0,7.740370071305053,6.052172559197788,51.446883458421624,99.6297749769601,-0.11282590673373598,36.666666666666664,-2.2903341794963783
all83,0,1660,75,4.518072289156627,5,8.0,2.477560403719003,-0.16592842928803891,14.931500372477762,1.2983913367371966,0.04555067735252439,0.2058012530987548,0.9934195394399975,-1.0853407605868504,-0.41884317953481426,-0.6023774350004913,-0.7251418516124413,-0.05802796310629352,10.666666666666668,0.0,42.0,10.0,7.740370071305053,6.052172559197788,51.446883458421624,99.6297749769601,-0.11282590673373598,36.666666666666664,-2.2903341794963783
all83,0,1660,75,4.518072289156627,10,6.666666666666667,2.917932145163914,-0.21319085606257485,13.686947925700224,0.9776391375500161,-0.004449322647475561,-0.02010236135907633,0.9934195394399975,-1.5793403617137325,-0.46884317953481425,-0.6523774350004914,-0.7751418516124413,-0.10802796310629352,10.666666666666668,0.0,42.0,10.0,7.740370071305053,6.052172559197788,51.446883458421624,99.6297749769601,-0.11282590673373598,36.666666666666664,-2.2903341794963783
all83,0,1660,75,4.518072289156627,20,6.666666666666667,2.817932145163914,-0.31319085606257485,8.99749175499842,0.6426779824998871,-0.10444932264747557,-0.471909590274739,0.9934195394399975,-2.5606838600754633,-0.5688431795348142,-0.7523774350004915,-0.8751418516124414,-0.20802796310629354,10.666666666666668,0.0,42.0,10.0,7.740370071305053,6.052172559197788,51.446883458421624,99.6297749769601,-0.11282590673373598,36.666666666666664,-2.2903341794963783
fit28,1,560,23,4.107142857142857,2,21.73913043478261,2.0615944647433637,-0.25885174937997785,7.964382970876023,2.2123286030211173,0.24559307977727035,1.008685863370932,2.7003798204782643,-0.8752531982465284,-0.7226596596278415,-0.8180698196601385,-0.8752531982465271,-0.09363614800360097,13.043478260869565,0.0,,,,,,,,,
validation28,1,560,25,4.464285714285714,2,20.0,0.591045323487715,-0.35432852444064444,1.6680715288749615,0.41701788221874037,-0.16525375485497257,-0.7377399770311275,-0.7322078403600074,-2.125671239036009,-0.926097295665809,-1.2048775433951593,-1.4778707468840493,-0.24035990506555768,20.0,0.0,,,,,,,,,
development56,1,1120,48,4.285714285714286,2,20.833333333333332,1.3263198941155394,-0.309102683622434,4.290871494780118,1.1291767091526628,0.0316103534063105,0.1354729431699021,0.9125737471249978,-2.9823194317786683,-0.8932555465438641,-1.1042347351647623,-1.4778707468840493,-0.13173061973305392,16.666666666666664,0.0,,,,,,,,,
stress27,1,540,27,5.0,2,7.407407407407407,0.43915770726923364,-0.10366147741884327,4.2364600447938905,0.33891680358351123,-0.06345264892343017,-0.31726324461715083,-0.09501754885185412,-0.9186242468703143,-0.19301872199146167,-0.46293469702496587,-0.7262716926305594,-0.09336969141746884,22.22222222222222,0.0,,,,,,,,,
all83,1,1660,75,4.518072289156627,2,16.0,1.178459529641155,-0.22757839544640593,5.17825748498468,0.986334759044701,-0.002612327432396138,-0.01180268418251267,0.5498408805733311,-2.9823194317786683,-0.7951964682255831,-1.0469893509352035,-1.4778707468840493,-0.10681838714035337,18.666666666666668,0.0,,,,,,,,,
fit28,2,560,23,4.107142857142857,2,8.695652173913043,0.4443821396040315,-0.2597264627405304,1.7109621211296213,0.16294877344091632,-0.1984996277540468,-0.8152663282755493,-1.2804249131739212,-1.528524295207212,-0.5770090924982286,-0.8286971383722502,-1.0586135479324708,-0.24696432247188058,4.3478260869565215,0.0,,,,,,,,,
validation28,2,560,25,4.464285714285714,2,28.0,0.39888442413650904,-0.4073245702108785,0.9792790646780776,0.380830747374808,-0.18158605179360995,-0.8106520169357587,-0.7731563247999986,-1.8104070384417636,-1.087194141909307,-1.2105329610741444,-1.3259330460722538,-0.2626494901285816,20.0,0.0,,,,,,,,,
development56,2,1120,48,4.285714285714286,2,18.75,0.4089950275737363,-0.3278486661883834,1.2475116410530882,0.2878873017814819,-0.1896904736079859,-0.812959172605654,-1.0162225233958366,-2.849855372192578,-1.057502527990944,-1.1598931566935866,-1.3259330460722538,-0.2312570042857241,12.5,0.0,,,,,,,,,
stress27,2,540,27,5.0,2,14.814814814814815,0.3078131466984989,-0.10454406050334093,2.944338924817848,0.5120589434465823,-0.04345410388084615,-0.21727051940423073,-0.031378181148164055,-0.6543379274714378,-0.29541053692031766,-0.3762854890830248,-0.4432879064927772,-0.07310529119409433,18.51851851851852,0.0,,,,,,,,,
all83,2,1660,75,4.518072289156627,2,17.333333333333332,0.3778621411505863,-0.24500986085360957,1.5422323813177232,0.3233713057601678,-0.13704538050621562,-0.6191809360220585,-0.6616785601866745,-2.849855372192578,-1.0522626783302182,-1.1337796688307886,-1.3259330460722538,-0.16273432440826865,14.666666666666666,0.0,,,,,,,,,
