trading_date,owner,owner_name,lead_code,lead_name,option_type,strike,expiry,dte,volume,turnover,owner_turnover,owner_volume,n_contracts,oi_increment,iv,change_ratio,day_chg_pct,open_chg_pct,ret_1d,ret_2d,alert_reason
2026-08-20,HK.00700,腾讯控股,HK.TCH260821C450000,TCH 260821 450.00 C,CALL,450.0,2026-08-21,1.0,2306,1356584.0,7277618.0,14412.0,11,,58.283,43.283,0.939177101967803,1.6547406082289884,1.2405848471422232,-2.5254762959680987,contract+owner_sum
2026-08-20,HK.01093,CSPC PHARMA,HK.CSP260828C8500,CSP 260828 8.50 C,CALL,8.5,2026-08-28,8.0,805,1877080.0,5551360.0,4687.0,5,,,143.589,9.614277489925138,9.383995394358081,-3.4663865546218475,-1.313025210084029,contract+owner_sum
2026-08-20,HK.01810,小米集团-W,HK.MIU260828C28000,MIU 260828 28.00 C,CALL,28.0,2026-08-28,8.0,2387,1869100.0,4753570.0,6778.0,8,,43.467,16.363,1.1661807580174877,1.2390670553935834,4.538904899135443,0.2161383285302465,contract+owner_sum
2026-08-20,HK.02318,PING AN,HK.PAI260828C55000,PAI 260828 55.00 C,CALL,55.0,2026-08-28,8.0,2965,900200.0,2462705.0,5234.0,4,,31.006,-16.901,-0.37617651556346443,0.7523530311269067,3.9647679393005397,4.71996183250063,contract+owner_sum
2026-08-20,HK.09999,NTES,HK.NTE260828C200000,NTE 260828 200.00 C,CALL,200.0,2026-08-28,8.0,414,1141780.0,2327195.0,846.0,4,61.0,58.505,13.714,-0.5164029190397934,3.614820433278565,4.464117939089074,0.7786252219341483,contract+owner_sum
2026-08-20,SBO,,HK.SBO260828C5000,SBO 260828 5.00 C,CALL,5.0,2026-08-28,8.0,745,1655800.0,1988250.0,1166.0,2,,33.199,550.0,,,,,contract+owner_sum
2026-08-20,HEX,,HK.HEX260828C400000,HEX 260828 400.00 C,CALL,400.0,2026-08-28,8.0,542,965391.0,1973808.0,2309.0,4,101.0,23.392,23.379,,,,,contract+owner_sum
2026-08-20,HK.01024,KUAISHOU-W,HK.KST260828C34000,KST 260828 34.00 C,CALL,34.0,2026-08-28,8.0,2217,1059815.0,1622825.0,4917.0,3,1854.0,52.483,-79.901,-11.005291005290996,-4.761904761904756,2.318668252080869,-1.8430439952437538,contract+owner_sum
2026-08-20,HK.02899,ZIJIN MINING,HK.ZJM260828C38000,ZJM 260828 38.00 C,CALL,38.0,2026-08-28,8.0,385,750420.0,1602880.0,814.0,4,174.0,56.051,366.666,5.329512893982802,4.41260744985672,4.896626768226353,4.570184983677916,contract+owner_sum
2026-08-20,BOM,,HK.BOM260828C190000,BOM 260828 190.00 C,CALL,190.0,2026-08-28,8.0,200,1600000.0,1600000.0,200.0,1,,90.238,18.483,,,,,contract+owner_sum
2026-08-20,HK.00981,SMIC,HK.SMC260828C75000,SMC 260828 75.00 C,CALL,75.0,2026-08-28,8.0,126,546275.0,1589350.0,269.0,4,,62.032,-29.508,-1.2328767123287787,0.9589041095890538,0.554785020804438,-7.420249653259359,contract+owner_sum
2026-08-20,HK.03690,美团-W,HK.MET260828C90000,MET 260828 90.00 C,CALL,90.0,2026-08-28,8.0,1700,922850.0,1446150.0,2267.0,2,,45.329,-36.065,-1.378518093049974,2.010338885697882,-0.9900990099009799,-3.669190448456605,contract+owner_sum
2026-08-20,HK.09888,BIDU-W,HK.BIU260828C92500,BIU 260828 92.50 C,CALL,92.5,2026-08-28,8.0,2333,845148.0,1102752.0,3574.0,2,840.0,42.858,50.0,2.4458032240133543,0.7782101167315147,1.1394465545306431,-2.6587086272382043,contract+owner_sum
2026-08-21,HK.09988,阿里巴巴-W,HK.ALB260828C45000,ALB 260828 45.00 C,CALL,45.0,2026-08-28,7.0,308,11995005.0,24669860.0,20395.0,15,,,-5.482,-2.535657686212367,2.377179080824088,-8.536585365853655,-7.154471544715446,contract+owner_sum
2026-08-21,HK.01810,小米集团-W,HK.MIU260828C29000,MIU 260828 29.00 C,CALL,29.0,2026-08-28,7.0,3184,2101990.0,6772470.0,13085.0,9,960.0,45.006,162.068,4.538904899135443,2.3054755043227626,-4.135079255685737,-4.341833218470015,contract+owner_sum
2026-08-21,HK.09992,泡泡玛特,HK.POP260828C150000,POP 260828 150.00 C,CALL,150.0,2026-08-28,7.0,4088,1433080.0,5170884.0,19581.0,6,2281.0,33.204,-72.939,-3.0579050097592653,-8.197787898503572,4.026845637583887,4.1610738255033475,contract+owner_sum
2026-08-21,HK.02513,Z.AI,HK.KAT260828C1040000,KAT 260828 1040.00 C,CALL,1040.0,2026-08-28,7.0,732,3197500.0,5164533.0,1857.0,3,609.0,93.413,57.98,10.361681329423256,-0.6842619745845546,-10.806023029229406,-6.2001771479185175,contract+owner_sum
2026-08-21,HK.00700,腾讯控股,HK.TCH260828C460000,TCH 260828 460.00 C,CALL,460.0,2026-08-28,7.0,3202,1157389.0,3576936.0,12081.0,7,276.0,28.936,24.74,1.2405848471422232,-0.08861320336729372,-3.7199124726477018,-3.2822757111597323,contract+owner_sum
2026-08-21,HK.00100,MiniMax,HK.MNX260828C350000,MNX 260828 350.00 C,CALL,350.0,2026-08-28,7.0,4952,1916224.4,2760969.2,9553.0,2,3630.0,140.336,106.56,11.855670103092786,-1.675257731958757,-10.080645161290324,-13.709677419354826,contract+owner_sum
2026-08-21,AIA,,HK.AIA260828C70000,AIA 260828 70.00 C,CALL,70.0,2026-08-28,7.0,231,1044780.0,2658800.0,1363.0,4,,,58.387,,,,,contract+owner_sum
